image,X_mm,Y_mm
IMG_2419.jpeg,-0.1065,72.4108
IMG_2420.jpeg,278.8694,-11.9997
IMG_2421.jpeg,273.3898,-207.8589
IMG_2423.jpeg,50.6048,-193.5957
IMG_2424.jpeg,186.3664,-101.3817
IMG_2425.jpeg,462.7545,-169.9615
IMG_2426.jpeg,452.6902,-354.3524
IMG_2428.jpeg,285.2897,-296.8391
IMG_2429.jpeg,287.8277,-282.4466
IMG_2430.jpeg,261.0753,-270.0301
IMG_2431.jpeg,265.4776,-292.7959
IMG_2432.jpeg,265.2983,-292.7581
IMG_2433.jpeg,265.2915,-292.7418
IMG_2434.jpeg,265.4417,-292.8852
IMG_2435.jpeg,265.4386,-292.8970
IMG_2436.jpeg,265.4516,-292.8968
