idx,t_sec,x_m,y_m,z_m
0,0.8166777777777778,0.18321053079061403,-0.2611337457391236,-0.2086875989931738
1,3.316688888888889,0.18306088365355683,-0.2614028810854102,-0.20899188093038645
2,5.666711111111112,0.1830122027711616,-0.26134934127078613,-0.20919098778782974
3,6.866722222222223,0.1830561481791583,-0.26117886613140595,-0.20868320658562323
4,9.066755555555556,0.18299982891494623,-0.26131799516068516,-0.20870055152607492
5,11.81678888888889,0.18299277005728032,-0.2611315401650921,-0.20904482696637705
6,13.01678888888889,0.18301783309895664,-0.26115570417735523,-0.20897642219034684
7,13.7168,0.18306254432651442,-0.2611159431067957,-0.2090478002810492
8,15.016833333333334,0.18290587268156594,-0.261707169675425,-0.2084199030252204
9,15.965800000000002,0.1830810368143802,-0.2612627438859635,-0.20882332745540388
10,17.215822222222222,0.18271393097796151,-0.25984149878364626,-0.20886763256333873
11,18.116866666666667,0.1830699192839666,-0.25639555539847814,-0.20940612423962746
12,18.966866666666668,0.18317617699099242,-0.2546216490458153,-0.20897897873696114
13,19.566866666666666,0.18329244564220684,-0.2530263853369319,-0.20961131763247032
14,20.06687777777778,0.18331191472915237,-0.2519340991875083,-0.2097884494490816
15,21.16688888888889,0.18313392852773536,-0.2489515980738301,-0.21019564435689952
16,22.016888888888893,0.1830397591648853,-0.24657105252808129,-0.2106295142155512
17,22.7669,0.18287474324013503,-0.24505285520804465,-0.20970737695265385
18,23.516911111111114,0.18299869908645097,-0.24300310096065825,-0.21010182821381385
19,23.966911111111113,0.18299674748935507,-0.24249592379999824,-0.2082999762409936
20,28.166955555555557,0.18919696188533397,-0.24888464196934498,-0.20527101768523925
21,31.966988888888892,0.1893520143229086,-0.2590729131882374,-0.20506072432319944
22,35.41701111111111,0.19619132764842223,-0.2572033189370464,-0.2030831395933813
23,36.41701111111111,0.1958038201496385,-0.2543071088712968,-0.20296514591581716
24,39.567033333333335,0.19569086228920216,-0.24605890468388317,-0.20230190491753253
25,42.56706666666667,0.1955373993666778,-0.24584012353712478,-0.20206977861706865
26,43.71706666666667,0.19559260962386094,-0.2518132183613615,-0.20246286035531924
27,44.31707777777778,0.19573288148845006,-0.2549608714567477,-0.20254592303575358
28,45.11707777777778,0.19584097170314996,-0.2588685839455026,-0.20247581667009806
29,47.31708888888889,0.187743687061596,-0.26058259189221356,-0.20547149888782135
30,49.91710555555556,0.18239141107047963,-0.2617990988303261,-0.20716394138319294
