idx,x_idx,y_idx,x_mm,y_mm,x_m,y_m,z_m,t_sec
0,1,1,1.0,1.0,0.183210530790614,-0.2611337457391236,-0.2086875989931738,0.8166777777777778
1,1,2,1.0,2.0,0.1830608836535568,-0.2614028810854102,-0.2089918809303864,3.316688888888889
2,1,3,1.0,3.0,0.1830122027711616,-0.2613493412707861,-0.2091909877878297,5.666711111111112
3,1,4,1.0,4.0,0.1830561481791583,-0.2611788661314059,-0.2086832065856232,6.866722222222223
4,1,5,1.0,5.0,0.1829998289149462,-0.2613179951606851,-0.2087005515260749,9.066755555555556
5,1,6,1.0,6.0,0.1829927700572803,-0.2611315401650921,-0.209044826966377,11.81678888888889
6,1,7,1.0,7.0,0.1830178330989566,-0.2611557041773552,-0.2089764221903468,13.01678888888889
7,1,8,1.0,8.0,0.1830625443265144,-0.2611159431067957,-0.2090478002810492,13.7168
8,1,9,1.0,9.0,0.1829058726815659,-0.261707169675425,-0.2084199030252204,15.016833333333334
9,1,10,1.0,10.0,0.1830810368143802,-0.2612627438859635,-0.2088233274554038,15.965800000000002
10,1,11,1.0,11.0,0.1827139309779615,-0.2598414987836462,-0.2088676325633387,17.215822222222222
11,1,12,1.0,12.0,0.1830699192839666,-0.2563955553984781,-0.2094061242396274,18.116866666666667
12,1,13,1.0,13.0,0.1831761769909924,-0.2546216490458153,-0.2089789787369611,18.966866666666668
13,1,14,1.0,14.0,0.1832924456422068,-0.2530263853369319,-0.2096113176324703,19.566866666666662
14,1,15,1.0,15.0,0.1833119147291523,-0.2519340991875083,-0.2097884494490816,20.06687777777778
15,1,16,1.0,16.0,0.1831339285277353,-0.2489515980738301,-0.2101956443568995,21.16688888888889
16,1,17,1.0,17.0,0.1830397591648853,-0.2465710525280812,-0.2106295142155512,22.016888888888893
17,1,18,1.0,18.0,0.182874743240135,-0.2450528552080446,-0.2097073769526538,22.7669
18,1,19,1.0,19.0,0.1829986990864509,-0.2430031009606582,-0.2101018282138138,23.516911111111114
19,1,20,1.0,20.0,0.182996747489355,-0.2424959237999982,-0.2082999762409936,23.966911111111113
20,2,20,8.6,20.0,0.1891969618853339,-0.2488846419693449,-0.2052710176852392,28.166955555555557
21,2,19,8.6,19.0,0.1893520143229086,-0.2590729131882374,-0.2050607243231994,31.966988888888892
22,2,18,8.6,18.0,0.1961913276484222,-0.2572033189370464,-0.2030831395933813,35.41701111111111
23,2,17,8.6,17.0,0.1958038201496385,-0.2543071088712968,-0.2029651459158171,36.41701111111111
24,2,16,8.6,16.0,0.1956908622892021,-0.2460589046838831,-0.2023019049175325,39.567033333333335
25,2,15,8.6,15.0,0.1955373993666778,-0.2458401235371247,-0.2020697786170686,42.56706666666667
26,2,14,8.6,14.0,0.1955926096238609,-0.2518132183613615,-0.2024628603553192,43.71706666666667
27,2,13,8.6,13.0,0.19573288148845,-0.2549608714567477,-0.2025459230357535,44.31707777777778
28,2,12,8.6,12.0,0.1958409717031499,-0.2588685839455026,-0.202475816670098,45.11707777777778
29,2,11,8.6,11.0,0.187743687061596,-0.2605825918922135,-0.2054714988878213,47.31708888888889
30,2,10,8.6,10.0,0.1823914110704796,-0.2617990988303261,-0.2071639413831929,49.91710555555556
